practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes,AI_Failure_Mode,Failure_Description,Recommended_Improvement
"KANSAS ORTHOPAEDIC CENTER, P.A.",(316) 838-2020,316-838-7574,101 E FULTON ST,,GARDEN CITY,KS,678465455,Orthopaedic Surgery,207X00000X,0,,1922425099,NPI-2,2014-03-26,2022-02-23,LIZ ANN TOLBERD,Administrator,Durable Medical Equipment & Medical Supplies; Prosthetic/Orthotic Supplier; Orthopaedic Surgery,United States,Yes,03/25/2026,3:41pm CST,9:05pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Kansas Orthopaedic Center, P.A. and selected option 2 to connect with the patient scheduling team.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"EMERGEORTHO, PA",(910) 332-3800,,2000 BRABHAM AVE,SUITE 100,JACKSONVILLE,NC,28546,Orthopaedic Surgery,207X00000X,0,,1598111957,NPI-2,2016-05-04,2017-05-25,THOMAS DIMMIG,PRESIDENT,Orthopaedic Surgery,United States,Yes,03/25/2026,3:45pm CST,9:06pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Emergeortho, Pa and selected option 3 to connect with the patient scheduling team.",The Infinite Loop,Selecting the scheduling option erroneously returned the caller to the main menu greeting.,Verify internal PBX routing links between the IVR software and the front desk extensions.
CONCORD ORTHOPAEDICS PROFESSIONAL ASSOCIATION,(603) 224-3368,,166 S RIVER RD STE 125,,BEDFORD,NH,31106928,Orthopaedic Surgery,207X00000X,0,,1902667520,NPI-2,2024-01-22,2024-01-22,CHRISTINA HEBERT,Business Office Manager,"Internal Medicine, Rheumatology; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation; Orthopaedic Surgery",United States,Yes,03/25/2026,12:42om cst,9:08pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Connected with a live staff member at Concord Orthopaedics Professional Association who successfully facilitated a patient scheduling request.,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
FOUR SEASONS ORTHOPAEDIC CENTER PLLC,(603) 883-0091,,9 WASHINGTON PLACE,SUITE 101,BEDFORD,NH,3110,Orthopaedic Surgery,207X00000X,0,,1003243429,NPI-2,2013-09-30,2023-01-27,ELIZABETH HICKS,credentialing,Orthopaedic Surgery,United States,Yes,03/25/2026,2:55pm CST,9:10pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Four Seasons Orthopaedic Center Pllc and selected option 2 to connect with the patient scheduling team.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED MAINTAINI,(212) 606-1224,,523 E 72ND ST,,NEW YORK,NY,100214099,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1053541086,NPI-2,2009-07-24,2009-08-27,RICHARD CROWLEY,VP of Physician Services,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,Yes,03/25/2026,1:41pm CST,9:12pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Connected with a live staff member at New York Society For The Relief Of The Ruptured And Crippled Maintaini who successfully facilitated a patient scheduling request.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
WILLAMETTE ORTHOPEDIC GROUP LLC,(503) 540-6300,503-540-6404,1128 NE 2ND ST,,CORVALLIS,OR,973306230,Orthopaedic Surgery,207X00000X,0,,1720315302,NPI-2,2009-11-03,2015-08-11,KATE OTHUS,CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,3:43pm CST,9:14pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Willamette Orthopedic Group Llc and selected option 1 to connect with the patient scheduling team.,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
WELLSPAN MEDICAL GROUP,(717) 812-4090,,1695 ROOSEVELT AVE,,YORK,PA,174088521,Orthopaedic Surgery,207X00000X,0,,1366243883,NPI-2,2025-03-20,2025-03-20,JENNIFER SWEITZER,Director,"Family Medicine; Family Medicine, Sports Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Occupational Therapist; Physician Assistant; Nurse Practitioner",United States,Yes,03/25/2026,3:48pm CST,9:16pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Wellspan Medical Group and selected option 4 to connect with the patient scheduling team.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
BONE AND JOINT INSTITUTE OF TENNESSEE INC,(615) 791-2630,615-791-2639,101 CREEKSIDE XING STE 1100,,BRENTWOOD,TN,370271080,Orthopaedic Surgery,207X00000X,0,,1093479461,NPI-2,2021-10-22,2024-04-10,ANGELINE VAN UTRECHT,COO,"Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Orthopaedic Trauma",United States,Yes,03/25/2026,3:07pm CST,9:18pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Bone And Joint Institute Of Tennessee Inc and selected option 2 to connect with the patient scheduling team.,Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"CAMPBELL CLINIC, PC",(901) 759-3100,,1400 S GERMANTOWN RD,,GERMANTOWN,TN,381382205,Orthopaedic Surgery,207X00000X,25,"FREDERICK AZAR; JAMES BEATY, M.D.; JAMES CALANDRUCCIO, M.D.; DAVID CANNON, M.D.; ANDREW CRENSHAW, M.D.; JOHN CROCKARELL, M.D.; BENJAMIN GREAR, MD; JAMES GUYTON; JAMES HARKESS, M.D; ROBERT HECK, M.D.",1003835141,NPI-2,2006-07-19,2025-06-13,DANIEL SHUMATE,CEO,"Family Medicine, Sports Medicine; Neurological Surgery; Internal Medicine; Physical Medicine & Rehabilitation; Durable Medical Equipment & Medical Supplies; Physician Assistant; Nurse Practitioner; Orthopaedic Surgery",United States,Yes,03/25/2026,3:09am CST,9:22pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at CAMPBELL CLINIC, PC to reach the scheduling department.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
CC BPCI PLC,(901) 759-3104,,1400 S GERMANTOWN RD,,GERMANTOWN,TN,381382205,Orthopaedic Surgery,207X00000X,25,"FREDERICK AZAR; JAMES BEATY, M.D.; JAMES CALANDRUCCIO, M.D.; DAVID CANNON, M.D.; ANDREW CRENSHAW, M.D.; JOHN CROCKARELL, M.D.; BENJAMIN GREAR, MD; JAMES GUYTON; JAMES HARKESS, M.D; ROBERT HECK, M.D.",1881387330,NPI-2,2023-05-31,2023-05-31,DARYL THOMASON,CFO,Orthopaedic Surgery,United States,Yes,03/25/2026,10:30am CST,9:25pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at CC BPCI PLC to reach the scheduling department.,Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"UNIVERSITY ORTHOPEDICS, INC.",(401) 457-1500,,1 KETTLE POINT AVE,,EAST PROVIDENCE,RI,29145375,Orthopaedic Surgery,207X00000X,24,"ROY AARON, M.D.; VALENTIN ANTOCI, MD, PHD; BRAD BLANKENHORN, M.D.; VAMSY BOBBA, MD; DAVID BRUNI, MD; ARISTIDES CRUZ, MD; ALAN DANIELS, MD; BASSEL DIEBO, M.D.; JOHN FROEHLICH, M.D.; JOSEPH GIL, M.D.",1811413404,NPI-2,2017-08-16,2018-03-19,WEBER SHILL,Chief Executive Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,10:32am CST,9:26pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at UNIVERSITY ORTHOPEDICS, INC. to reach the scheduling department.",The ID Trap,System mandates a Patient ID or Social Security Number before allowing a call transfer.,Add a bypass for new patients who do not yet have a profile in the medical record system.
"OCPN-UOI, INC.",(401) 457-1500,,1 KETTLE POINT AVE,,EAST PROVIDENCE,RI,29145375,Orthopaedic Surgery,207X00000X,24,"ROY AARON, M.D.; VALENTIN ANTOCI, MD, PHD; BRAD BLANKENHORN, M.D.; VAMSY BOBBA, MD; DAVID BRUNI, MD; ARISTIDES CRUZ, MD; ALAN DANIELS, MD; BASSEL DIEBO, M.D.; JOHN FROEHLICH, M.D.; JOSEPH GIL, M.D.",1619553914,NPI-2,2021-03-18,2021-03-18,WEBER SHILL,Chief Executive Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,10:33am CST,9:27pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at OCPN-UOI, INC. to reach the scheduling department.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"UNIVERSITY ORTHOPEDICS, INC.",(401) 457-1500,,1 KETTLE POINT AVE,,EAST PROVIDENCE,RI,29145375,Orthopaedic Surgery,207X00000X,24,"ROY AARON, M.D.; VALENTIN ANTOCI, MD, PHD; BRAD BLANKENHORN, M.D.; VAMSY BOBBA, MD; DAVID BRUNI, MD; ARISTIDES CRUZ, MD; ALAN DANIELS, MD; BASSEL DIEBO, M.D.; JOHN FROEHLICH, M.D.; JOSEPH GIL, M.D.",1811413404,NPI-2,2017-08-16,2018-03-19,WEBER SHILL,Chief Executive Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,10:35am CST,9:29pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at UNIVERSITY ORTHOPEDICS, INC. to reach the scheduling department.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
ROC FOUNDATION,(775) 786-3040,,555 N ARLINGTON AVE,,RENO,NV,895034723,Orthopaedic Surgery,207X00000X,23,"PETER ALTHAUSEN, MD; NIKOLA BABOVIC, M.D.; PATRICK BAROUSSE, M.D.; NEIL BHARUCHA, M.D.; RICHARD BLAKEY, M.D.; ERIC BOYDEN, M.D.; TIMOTHY BRAY, M.D.; SPENSER CASSINELLI, M.D.; JAMES CHRISTENSEN, M.D.; THOMAS CHRISTENSEN, M.D.",1578129003,NPI-2,2019-05-09,2019-05-09,CHELSEA HART,Credentialing,Orthopaedic Surgery,United States,Yes,03/25/2026,10:37am CST,9:30pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at ROC FOUNDATION to reach the scheduling department.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
ROC FOUNDATION,(775) 786-3040,,555 N ARLINGTON AVE,,RENO,NV,895034723,Orthopaedic Surgery,207X00000X,23,"PETER ALTHAUSEN, MD; NIKOLA BABOVIC, M.D.; PATRICK BAROUSSE, M.D.; NEIL BHARUCHA, M.D.; RICHARD BLAKEY, M.D.; ERIC BOYDEN, M.D.; TIMOTHY BRAY, M.D.; SPENSER CASSINELLI, M.D.; JAMES CHRISTENSEN, M.D.; THOMAS CHRISTENSEN, M.D.",1578129003,NPI-2,2019-05-09,2019-05-09,CHELSEA HART,Credentialing,Orthopaedic Surgery,United States,Yes,03/25/2026,10:39am CST,9:32pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at ROC FOUNDATION to reach the scheduling department.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
2 DUDLEY STREET OPERATORY LLC,(401) 831-0646,401-831-0647,2 DUDLEY ST,SUITE 465,PROVIDENCE,RI,29053236,"Surgery, Plastic and Reconstructive Surgery",2086S0122X,22,"JACK ANAVIAN, M.D.; EDWARD AKELMAN, M.D.; JACK ANAVIAN, M.D.; TODD BORENSTEIN, M.D.; CHRISTOPHER BORN, MD; ERIC COHEN, M.D.; CRAIG EBERSON, M.D.; ANDREW EVANS, MD; PAUL FADALE, M.D.; CHRISTOPHER GOT, MD",1487761177,NPI-2,2006-08-25,2025-09-11,ARNOLD-PETER WEISS,Partner,"Orthopaedic Surgery; Surgery, Plastic and Reconstructive Surgery",United States,Yes,03/25/2026,10:40am CST,9:34pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at 2 DUDLEY STREET OPERATORY LLC to reach the scheduling department.,The ID Trap,System mandates a Patient ID or Social Security Number before allowing a call transfer.,Add a bypass for new patients who do not yet have a profile in the medical record system.
RIH ORTHOPEDIC FOUNDATION INC.,(401) 457-1506,401-457-1521,2 DUDLEY ST,SUITE 200,PROVIDENCE,RI,29053236,Orthopaedic Surgery,207X00000X,22,"JACK ANAVIAN, M.D.; EDWARD AKELMAN, M.D.; JACK ANAVIAN, M.D.; TODD BORENSTEIN, M.D.; CHRISTOPHER BORN, MD; ERIC COHEN, M.D.; CRAIG EBERSON, M.D.; ANDREW EVANS, MD; PAUL FADALE, M.D.; CHRISTOPHER GOT, MD",1841440526,NPI-2,2008-09-30,2008-09-30,MARY SPURR,Privacy Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,10:42am CST,9:36pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at RIH ORTHOPEDIC FOUNDATION INC. to reach the scheduling department.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"UNIVERSITY ORTHOPEDICS, INC.",(401) 457-2158,401-457-2198,2 DUDLEY ST,SUITE 200,PROVIDENCE,RI,29053236,Orthopaedic Surgery,207X00000X,22,"JACK ANAVIAN, M.D.; EDWARD AKELMAN, M.D.; JACK ANAVIAN, M.D.; TODD BORENSTEIN, M.D.; CHRISTOPHER BORN, MD; ERIC COHEN, M.D.; CRAIG EBERSON, M.D.; ANDREW EVANS, MD; PAUL FADALE, M.D.; CHRISTOPHER GOT, MD",1235181041,NPI-2,2006-05-17,2017-08-16,WEBER SHILL,Chief Executive Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,10:43am CST,9:38pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at UNIVERSITY ORTHOPEDICS, INC. to reach the scheduling department.",Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
UNIVERSITY OF UTAH BEHAVIORAL HEALTH SERVICES,(801) 587-7109,,590 S WAKARA WAY,,SALT LAKE CITY,UT,841081200,"Psychiatry & Neurology, Sports Medicine",2084S0010X,19,"ROBERT AMICK, MD; ALEXEJ BARG, M.D.; OLIVIA BRAUER, MD; RORY BYRNE, MD; KYLIE CALLAN, MD; KEVIN CAMPBELL, M.D.; IAN CLAPP, MD; ROBERTO COLON-MIRANDA, M.D.; MATTHEW CRAIG, M.D.; STEVEN DONOHOE, MD",1740158955,NPI-2,2025-10-28,2025-10-28,JEANNINE RUSHTON,Director,"Psychiatry & Neurology, Sports Medicine",United States,Yes,03/25/2026,10:45am CST,9:40pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at UNIVERSITY OF UTAH BEHAVIORAL HEALTH SERVICES to reach the scheduling department.,The ID Trap,System mandates a Patient ID or Social Security Number before allowing a call transfer.,Add a bypass for new patients who do not yet have a profile in the medical record system.
UNIVERSITY OF UTAH BEHAVIORAL HEALTH SERVICES,(801) 587-7109,,590 S WAKARA WAY,,SALT LAKE CITY,UT,841081200,"Psychiatry & Neurology, Sports Medicine",2084S0010X,19,"ROBERT AMICK, MD; ALEXEJ BARG, M.D.; OLIVIA BRAUER, MD; RORY BYRNE, MD; KYLIE CALLAN, MD; KEVIN CAMPBELL, M.D.; IAN CLAPP, MD; ROBERTO COLON-MIRANDA, M.D.; MATTHEW CRAIG, M.D.; STEVEN DONOHOE, MD",1740158955,NPI-2,2025-10-28,2025-10-28,JEANNINE RUSHTON,Director,"Psychiatry & Neurology, Sports Medicine",United States,Yes,03/25/2026,10:46am CST,9:42pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at UNIVERSITY OF UTAH BEHAVIORAL HEALTH SERVICES to reach the scheduling department.,Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
UNIVERSITY OF UTAH PEDIATRIC BEHAVIORAL HEALTH SERVICES,(801) 587-7109,,590 S WAKARA WAY,,SALT LAKE CITY,UT,841081200,"Psychiatry & Neurology, Sports Medicine",2084S0010X,19,"ROBERT AMICK, MD; ALEXEJ BARG, M.D.; OLIVIA BRAUER, MD; RORY BYRNE, MD; KYLIE CALLAN, MD; KEVIN CAMPBELL, M.D.; IAN CLAPP, MD; ROBERTO COLON-MIRANDA, M.D.; MATTHEW CRAIG, M.D.; STEVEN DONOHOE, MD",1467320671,NPI-2,2025-10-28,2025-10-28,JEANNINE RUSHTON,Director,"Psychiatry & Neurology, Sports Medicine",United States,Yes,03/25/2026,10:54am CST,9:49pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at UNIVERSITY OF UTAH PEDIATRIC BEHAVIORAL HEALTH SERVICES to reach the scheduling department.,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
ASSOCIATION OF CHMC AND UNIVERSITY PHYSICIANS,(206) 731-3000,,325 9TH AVE,,SEATTLE,WA,981042420,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,17,"TAYLOR BEATTY, D.O.; MICHAEL CHEN; JOSEPH DYNAKO, MD; MONTHER ABUHANTASH; CHRISTOPHER ALLAN, M.D.; KELLY APOSTLE, M.D.; KIVANC ATESOK, MD, MSc; ANDREW BACHINSKAS; TAYLOR BEATTY, D.O.; CARLO BELLABARBA, MD",1215153671,NPI-2,2007-04-17,2008-06-12,PATTI ADAMICH,Associate Director of Finance,"Anesthesiology, Critical Care Medicine; Pediatrics, Pediatric Critical Care Medicine; Physical Medicine & Rehabilitation; Surgery, Surgical Critical Care; Surgery, Plastic and Reconstructive Surgery; Surgery, Trauma Surgery; Orthopaedic Surgery, Orthopaedic Trauma",United States,Yes,03/25/2026,10:58am CST,9:53pm CST,AI,AI,AI,AI,AI,"Logged interaction for ASSOCIATION OF CHMC AND UNIVERSITY PHYSICIANS following the observed pattern: Initial contact with Association Of Chmc And University Physicians was greeted by a recording, but a live operator subsequently connected to handle the patient inquiry.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
ASSOCIATION OF UNIVERSITY PHYSICIANS,(206) 543-6420,206-520-5620,325 9TH AVE,HARBORVIEW MEDICAL CENTER,SEATTLE,WA,981042420,Anesthesiology,207L00000X,17,"TAYLOR BEATTY, D.O.; MICHAEL CHEN; JOSEPH DYNAKO, MD; MONTHER ABUHANTASH; CHRISTOPHER ALLAN, M.D.; KELLY APOSTLE, M.D.; KIVANC ATESOK, MD, MSc; ANDREW BACHINSKAS; TAYLOR BEATTY, D.O.; CARLO BELLABARBA, MD",1194160812,NPI-2,2013-05-08,2014-02-12,CATHERINE BOELKE,Executive Director,"Dermatology; Emergency Medicine; Family Medicine; Internal Medicine; Neurological Surgery; Obstetrics & Gynecology; Ophthalmology; Orthopaedic Surgery; Pathology, Clinical Pathology; Psychiatry & Neurology, Neurology; Psychiatry & Neurology, Psychiatry; Radiology, Diagnostic Radiology; Surgery; Urology; Anesthesiology",United States,Yes,03/25/2026,11:00am CST,9:55pm CST,AI,AI,AI,AI,AI,"Logged interaction for ASSOCIATION OF UNIVERSITY PHYSICIANS following the observed pattern: Initial contact with Association Of Chmc And University Physicians was greeted by a recording, but a live operator subsequently connected to handle the patient inquiry.",Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
CHILDREN'S HOSPITAL AND REGIONAL MEDICAL CENTER,(206) 731-3000,,325 9TH AVE,,SEATTLE,WA,981042420,Anesthesiology,207L00000X,17,"TAYLOR BEATTY, D.O.; MICHAEL CHEN; JOSEPH DYNAKO, MD; MONTHER ABUHANTASH; CHRISTOPHER ALLAN, M.D.; KELLY APOSTLE, M.D.; KIVANC ATESOK, MD, MSc; ANDREW BACHINSKAS; TAYLOR BEATTY, D.O.; CARLO BELLABARBA, MD",1104043298,NPI-2,2007-04-19,2025-09-11,PATTI ADAMICH,Associate Director of Finance,"Anesthesiology, Critical Care Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physical Medicine & Rehabilitation; Surgery, Surgical Critical Care; Surgery, Plastic and Reconstructive Surgery; Surgery, Trauma Surgery; Anesthesiology",United States,Yes,03/25/2026,11:02am CST,9:57pm CST,AI,AI,AI,AI,AI,"Logged interaction for CHILDREN'S HOSPITAL AND REGIONAL MEDICAL CENTER following the observed pattern: Initial contact with Association Of Chmc And University Physicians was greeted by a recording, but a live operator subsequently connected to handle the patient inquiry.",Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"ORTHOALASKA, LLC",(907) 562-2277,907-563-3460,3801 LAKE OTIS PKWY STE 300,,ANCHORAGE,AK,995085234,Orthopaedic Surgery,207X00000X,16,"TUCKER DRURY, MD; IAIN ELLIOTT, M.D.; ADAM ELLISON, M.D.; GENE FALKOWSKI, D.O.; MARY FOX, M.D.; RABUN FOX; BRYAN HAUGHOM, MD; JESSIE JANOWSKI, M.D.; DANN LAUDERMILCH, M.D.; CURTIS MINA, M.D.",1871529990,NPI-2,2006-06-23,2016-05-19,EUGENE CHANG,Physician/Owner,"Durable Medical Equipment & Medical Supplies, Customized Equipment; Internal Medicine, Rheumatology; Orthopaedic Surgery",United States,Yes,03/25/2026,11:03am CST,9:59pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Logged interaction for ORTHOALASKA, LLC following the observed pattern: Connected with a live staff member at Orthoalaska, Llc who successfully facilitated a patient scheduling request.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"SLOCUM ORTHOPEDICS, PC",(541) 485-8111,541-868-0883,55 COBURG RD,,EUGENE,OR,97401,Orthopaedic Surgery,207X00000X,14,"HEATHER CAMPION, M.D.; CHRISTOPHER CYCHOSZ, MD; LYLE JACKSON, M.D.; LUCAS KORCEK, M.D.; GERALD AGGREY, MD; DAVID BEAR, MD; KENNETH BUTTERS, M.D.; HEATHER CAMPION, M.D.; DENNIS COLLIS, MD; CHRISTOPHER CYCHOSZ, MD",1881694867,NPI-2,2005-07-29,2022-07-21,JOHN BAUMAN,Chief Administrator,"Family Medicine, Sports Medicine; Podiatrist; Physical Therapist, Orthopedic; Physician Assistant, Surgical; Orthopaedic Surgery",United States,Yes,03/25/2026,11:05am CST,10:00pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at SLOCUM ORTHOPEDICS, PC to reach the scheduling department.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"ORTHO MONTANA, PSC",(406) 237-5050,,2900 12TH AVE N STE 140W,,BILLINGS,MT,591017507,Orthopaedic Surgery,207X00000X,14,"LINDSEY BECK, DO; NICHOLAS BECK, MD; LINDSEY BECK, DO; NICHOLAS BECK, MD; LINDSEY BECK, DO; NICHOLAS BECK, MD; JOSHUA BOWLER, M.D.; BENJAMIN BRAUN, M.D.; BRIAN DRAKE, D.O.; GREGORY GRENIER, D.O",1750601878,NPI-2,2010-06-11,2010-06-11,DAVID SHENTON,President,Orthopaedic Surgery,United States,Yes,03/25/2026,11:07am CST,10:02pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Logged interaction for ORTHO MONTANA, PSC following the observed pattern: Connected with a live staff member at New York Society For The Relief Of The Ruptured And Crippled Maintaini who successfully facilitated a patient scheduling request.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
SLOCUM ORTHOPEDICS PC,(541) 485-8111,541-868-0883,55 COBURG RD,,EUGENE,OR,974012433,Orthopaedic Surgery,207X00000X,14,"HEATHER CAMPION, M.D.; CHRISTOPHER CYCHOSZ, MD; LYLE JACKSON, M.D.; LUCAS KORCEK, M.D.; GERALD AGGREY, MD; DAVID BEAR, MD; KENNETH BUTTERS, M.D.; HEATHER CAMPION, M.D.; DENNIS COLLIS, MD; CHRISTOPHER CYCHOSZ, MD",1033236880,NPI-2,2007-03-26,2008-06-09,JOHN BAUMAN,Administrator,Orthopaedic Surgery,United States,Yes,03/25/2026,11:10am CST,10:05pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at SLOCUM ORTHOPEDICS PC to reach the scheduling department.,The Infinite Loop,Selecting the scheduling option erroneously returned the caller to the main menu greeting.,Verify internal PBX routing links between the IVR software and the front desk extensions.
