practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes
PINNACLE HEALTH MEDICAL SERVICES,(176) 529-5557,717-791-2621,820 SIR THOMAS CT,,HARRISBURG,PA,171094839,Orthopaedic Surgery,207X00000X,1,"TIMOTHY ACKERMAN, D.O.",1770155913,NPI-2,2021-07-16,2022-03-14,AMY WILKINSON,PE Manager,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Sports Medicine; Neurological Surgery; Orthopaedic Surgery, Orthopaedic Trauma; Orthopaedic Surgery",United States,No,,,,,,,,,
UPMC COMMUNITY MEDICINE INC,(724) 962-9622,724-752-6911,1599 N HERMITAGE RD,,HERMITAGE,PA,161483180,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,1,"JEROME BONIER, DO",1720316276,NPI-2,2009-11-20,2009-11-20,MARK EHALT,Director,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,No,,,,,,,,,
"GARY A RAYMOND DPM, PC",(814) 644-6610,814-942-7635,1225 WARM SPRINGS AVE,THIRD FLOOR,HUNTINGDON,PA,166522350,Podiatrist,213E00000X,1,"WINFRIED BERGER, M.D.",1518206432,NPI-2,2013-02-13,2023-06-20,GARY RAYMOND,President,"Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Podiatrist, Primary Podiatric Medicine; Podiatrist, Radiology; Podiatrist, Sports Medicine; Podiatrist, Foot & Ankle Surgery; Podiatrist",United States,No,,,,,,,,,
CENTER FOR ORTHOPAEDIC AND SPORTS MEDICINE PC,(724) 465-2676,724-349-1830,120 IRMC DR,SUITE 160,INDIANA,PA,157013674,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"DAVID BIZOUSKY, M.D.",1124088372,NPI-2,2006-03-23,2019-03-19,BRETT BRAUN,Chief Operating Officer,"Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Podiatrist; Physician Assistant; Physician Assistant; Nurse Practitioner; Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
"ORTHOPAEDIC SURGERY & REHABILITATION ASSOCIATES, P.C.",(215) 745-4050,215-745-9333,7500 CENTRAL AVE,SUITE 108,PHILADELPHIA,PA,191112430,Orthopaedic Surgery,207X00000X,1,"JOHN BEIGHT, M.D.",1326057472,NPI-2,2006-08-07,2014-07-14,WILLIAM MARKMANN,President,"Family Medicine, Sports Medicine; Physical Therapist; Occupational Therapist; Orthopaedic Surgery",United States,No,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,(813) 518-7679,813-281-8656,3551 N BROAD ST,,PHILADELPHIA,PA,191404160,Orthopaedic Surgery,207X00000X,1,"CORINNA FRANKLIN, MD",1275271462,NPI-2,2022-05-26,2025-06-10,JOHN MCCABE,Executive Vice President,"Oral & Maxillofacial Surgery; Anesthesiology; Neurological Surgery; Ophthalmology; Otolaryngology; Pediatrics; Physical Medicine & Rehabilitation; Plastic Surgery; Psychiatry & Neurology, Neurology with Special Qualifications in Child Neurology; Radiology, Diagnostic Radiology; Surgery; Physician Assistant; Nurse Practitioner; Nurse Anesthetist, Certified Registered; Orthopaedic Surgery",United States,No,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,(215) 430-4000,215-430-4079,3551 N BROAD ST,,PHILADELPHIA,PA,191404160,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery",207XP3100X,1,"CORINNA FRANKLIN, MD",1659615706,NPI-2,2012-11-15,2023-01-13,JERRY GANTT,President,"Physical Therapist; Physician Assistant; Nurse Practitioner; Orthopaedic Surgery, Pediatric Orthopaedic Surgery",United States,No,,,,,,,,,
STC PEDIATRICS LLC,(215) 427-3131,,160 E ERIE AVE,,PHILADELPHIA,PA,191341011,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery",207XP3100X,1,"NANCY CAMPBELL, DO",1285278416,NPI-2,2019-10-31,2025-11-06,BRIAN RAYME,EVP & CFO,"Pediatrics; Orthopaedic Surgery; Pediatrics, Sports Medicine; Orthopaedic Surgery, Pediatric Orthopaedic Surgery",United States,No,,,,,,,,,
UNIV OF PENN-ORTHOPEDIC SURGERY,(215) 662-3340,215-349-5928,3400 SPRUCE ST,2 SILVERSTEIN,PHILADELPHIA,PA,191044206,Orthopaedic Surgery,207X00000X,1,"STEFAN COOMBS, M.D",1962515965,NPI-2,2006-08-16,2011-06-10,ELIZABETH JOHNSTON,Executive Director,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Orthopaedic Surgery, Hand Surgery; Family Medicine, Sports Medicine; Plastic Surgery; Physical Medicine & Rehabilitation; Orthopaedic Surgery",United States,No,,,,,,,,,
UNIVERSITY OF PENN-MEDICAL GROUP,(215) 662-3340,,3400 SPRUCE ST,2 SILVERSTEIN BUILDING,PHILADELPHIA,PA,191044238,Orthopaedic Surgery,207X00000X,1,"STEFAN COOMBS, M.D",1598153603,NPI-2,2014-12-26,2020-11-19,CHANTE JACKSON,Enrollment,"Family Medicine, Sports Medicine; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physical Medicine & Rehabilitation; Plastic Surgery; Orthopaedic Surgery",United States,No,,,,,,,,,
ALLEGHENY CLINIC,(877) 660-6777,412-359-8055,1307 FEDERAL STREET,2ND FLOOR,PITTSBURGH,PA,152124756,"Family Medicine, Sports Medicine",207QS0010X,1,"SAM AKHAVAN, MD",1801018445,NPI-2,2007-05-03,2020-11-09,DENISE NOEL,Director Provider Enrollment,"Family Medicine, Sports Medicine",United States,No,,,,,,,,,
"TRI RIVERS SURGICAL ASSOCIATES, INC",(412) 367-0600,412-367-7079,9104 BABCOCK BLVD,STE 2120,PITTSBURGH,PA,152375818,Orthopaedic Surgery,207X00000X,1,"PAUL BALDWIN, M.D.",1588667679,NPI-2,2005-05-23,2010-11-03,D. AGNEW,President,"Physical Medicine & Rehabilitation; Physical Medicine & Rehabilitation, Pain Medicine; Physician Assistant, Surgical; Nurse Practitioner; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Family Medicine, Sports Medicine; Orthopaedic Surgery",United States,No,,,,,,,,,
UNIVERSITY OF PITTSBURGH PHYSICIANS,(412) 647-0943,412-647-4050,200 LOTHROP ST,,PITTSBURGH,PA,152132546,Orthopaedic Surgery,207X00000X,1,"EMMETT GANNON, M.D.",1720036601,NPI-2,2006-05-04,2010-10-14,MARK EHALT,"Director, Revenue Cycle","Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Podiatrist, Foot & Ankle Surgery; Podiatrist, Sports Medicine; Orthopaedic Surgery",United States,No,,,,,,,,,
UPMC MULTISPECIALTY GROUP INC,(866) 874-7483,412-367-7079,9104 BABCOCK BLVD,SUITE 2120,PITTSBURGH,PA,152375818,Orthopaedic Surgery,207X00000X,1,"PAUL BALDWIN, M.D.",1841690542,NPI-2,2014-08-29,2014-09-19,MARK EHALT,SR.DIRECTOR,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery",United States,No,,,,,,,,,
"BRANDYWINE INSTITUTE OF ORTHOPAEDICS, P.C.",(610) 792-9292,610-792-9293,1561 MEDICAL DR,,POTTSTOWN,PA,194643218,Orthopaedic Surgery,207X00000X,1,"SCOTT RITTERMAN, M.D.",1053349936,NPI-2,2006-06-29,2016-01-20,GLENN LIPTON,President & Managing Partner,Orthopaedic Surgery,United States,No,,,,,,,,,
"PENN STATE HEALTH MEDICAL GROUP, LLC",(610) 378-2996,610-208-8812,2494 BERNVILLE RD STE 200,,READING,PA,196059467,Orthopaedic Surgery,207X00000X,1,"NEIL BLANCHARD, MD",1942955521,NPI-2,2022-02-13,2026-02-04,TRACY MOYER-SWINKO,VP/Chief Financial Officer,"Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery",United States,No,,,,,,,,,
"COMMUNITY MEDICAL CARE, INC",(570) 558-3500,,1800 MULBERRY ST,,SCRANTON,PA,185102369,Internal Medicine,207R00000X,1,"MIRZA SHAHID BAIG, MD",1295789287,NPI-2,2006-05-22,2008-08-08,JOHN NILSSON,president and ceo,"Family Medicine; Obstetrics & Gynecology; Orthopaedic Surgery; Surgery; Nurse Anesthetist, Certified Registered; Psychiatry & Neurology, Psychiatry; Pediatrics, Neonatal-Perinatal Medicine; Surgery, Trauma Surgery; Neurological Surgery; Internal Medicine",United States,No,,,,,,,,,
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,(814) 231-2101,814-231-8569,101 REGENT CT,,STATE COLLEGE,PA,168017965,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,1,"CASEY ANTHOLZ, D.O.",1962292441,NPI-2,2025-05-08,2025-05-09,BRYAN ROACH,CFO,"Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
"CHESTER COUNTY ORTHOPAEDIC ASSOCIATES,LTD",(610) 350-2210,610-429-1943,915 OLD FERN HILL RD,SUITE 1 B-A,WEST CHESTER,PA,193804269,Orthopaedic Surgery,207X00000X,1,"JOHN BENNER, MD",1366481285,NPI-2,2006-06-06,2011-02-07,JOHN BENNER,President,Physical Medicine & Rehabilitation; Orthopaedic Surgery,United States,No,,,,,,,,,
WESTERN PENNSYLVANIA HAND CENTER,(724) 933-3850,724-933-3861,6001 STONEWOOD DR,,WEXFORD,PA,150907380,"Orthopaedic Surgery, Hand Surgery",207XS0106X,1,"MARSHALL BALK, MD",1629007265,NPI-2,2006-07-03,2025-10-01,DANIELLE HOWARD,Credentialing Specialist,"Physical Therapist; Orthopaedic Surgery, Hand Surgery",United States,No,,,,,,,,,
GEISINGER CLINIC,(570) 826-7300,,1000 E MOUNTAIN DR,,WILKES BARRE,PA,18711,Orthopaedic Surgery,207X00000X,1,"SHADI BAAJOUR, MD",1669423620,NPI-2,2006-05-15,2008-06-27,KENNETH HOLDREN,CAO,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physician Assistant; Nurse Practitioner; Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery",United States,No,,,,,,,,,
SUSQUEHANNA PHYSICIAN SERVICES,(570) 321-2020,570-320-7576,1705 WARREN AVE,SUITE 101-103,WILLIAMSPORT,PA,177012647,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,1,"JOHN BAILEY, MD",1831395912,NPI-2,2007-06-25,2016-08-18,MELISSA DAVIS,VP/COO,"Orthopaedic Surgery; Internal Medicine, Sports Medicine; Orthopaedic Surgery, Sports Medicine; Physician Assistant; Physician Assistant, Surgical; Physician Assistant, Medical; Nurse Practitioner; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,No,,,,,,,,,
"BERKSHIRE ORTHOPEDIC ASSOCIATES, INC.",(610) 375-4949,610-375-6233,2201 RIDGEWOOD RD,,WYOMISSING,PA,196101189,Orthopaedic Surgery,207X00000X,1,"ERIC BONTEMPO, DO",1588602478,NPI-2,2006-06-03,2008-01-21,GARY CANNER,Doctor,Orthopaedic Surgery,United States,No,,,,,,,,,
BERKSHIRE ORTHOPEDICS LLC,(610) 375-4949,610-375-6233,2201 RIDGEWOOD RD,SUITE 250,WYOMISSING,PA,196101189,Orthopaedic Surgery,207X00000X,1,"ERIC BONTEMPO, DO",1053842096,NPI-2,2017-03-22,2017-03-22,MICHELLE HAMM,Billing,Orthopaedic Surgery,United States,No,,,,,,,,,
THE READING NECK AND SPINE CENTER,(610) 372-1140,,1270 BROADCASTING RD,,WYOMISSING,PA,196103203,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,1,"DAVID ABRAHAM, M.D.",1043206899,NPI-2,2005-09-26,2008-02-21,STEPHEN BANCO,President,"Physical Medicine & Rehabilitation, Pain Medicine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
CENTRO DE REHABILITACION Y MEDICINA DEL DEPORTE,(787) 740-2270,787-785-7277,CARIMED PLAZA,B1 CALLE SANTA CRUZ STE. 406,BAYAMON,PR,9616933,Physical Medicine & Rehabilitation,208100000X,1,"KENNETH CINTRON VELAZQUEZ, M.D.",1649499294,NPI-2,2007-04-24,2024-09-17,JOSE ARIAS BENABE,GEN PTR,"Physical Medicine & Rehabilitation; Physical Medicine & Rehabilitation, Neuromuscular Medicine; Physical Medicine & Rehabilitation, Sports Medicine; Physical Therapist",United States,No,,,,,,,,,
DR KENNETH CINTRON CSP,(787) 798-4989,787-798-4988,CARIMED PLAZA,B1 CALLE SANTA CRUZ,BAYAMON,PR,9616928,"Orthopaedic Surgery, Foot and Ankle Surgery",207XX0004X,1,"KENNETH CINTRON VELAZQUEZ, M.D.",1417919903,NPI-2,2006-04-03,2024-09-25,KENNETH CINTRON VELAZQUEZ,President,"Orthopaedic Surgery, Foot and Ankle Surgery",United States,No,,,,,,,,,
FERNANDEZPEREZ MD LLC,(787) 798-7070,,B1 CALLE SANTA CRUZ,CARIMED PLAZA 403,BAYAMON,PR,9616928,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,1,"CHRISTIAN FOY, M.D.",1508692575,NPI-2,2024-09-09,2024-09-09,SAMUEL FERNANDEZ PEREZ,CEO,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,No,,,,,,,,,
GRUPO FISIATRICO DE BAYAMON PTR,(787) 740-2270,787-785-7277,66 CALLE SANTA CRUZ,INSTITUTO SAN PABLO SUITE 301,BAYAMON,PR,9617041,Physical Medicine & Rehabilitation,208100000X,1,"LUIS SANCHEZ CASO, md",1114932944,NPI-2,2006-07-30,2024-09-17,WILLIAM MICHEO,Co-Ownwer,"Physical Medicine & Rehabilitation; Physical Medicine & Rehabilitation, Neuromuscular Medicine; Physical Medicine & Rehabilitation, Sports Medicine; Physical Therapist",United States,No,,,,,,,,,
INSTITUTO ORTOPEDICO CAGUAS,(787) 744-4654,787-743-4959,EDIF. HIMA SAN PABLO CIRUGIA AMBULATORIA,CALLE MUNOZ RIVERA NUM. 1 FIINAL OFIC. 203,CAGUAS,PR,726,Orthopaedic Surgery,207X00000X,1,"BENIGNO LOPEZ, MD",1225121999,NPI-2,2006-10-02,2020-08-22,BENIGNO LOPEZ,Presidentte,Orthopaedic Surgery,United States,No,,,,,,,,,
JOHN C KAGAN MD LLC,(239) 229-8830,,BO RIO ABAJO CARRETERA 3,KM.HM 78.1,HUMACAO,PR,791,Orthopaedic Surgery,207X00000X,1,"JOHN KAGAN, M.D.",1689495764,NPI-2,2024-10-21,2024-11-19,JOHN KAGAN,President,"Orthopaedic Surgery; Clinic/Center, Medical Specialty",United States,No,,,,,,,,,
BC ORTHOPEDIC SOLUTIONS PSC,(787) 833-6893,,1065 AVE LOS CORAZONES STE 205,,MAYAGUEZ,PR,6807064,Orthopaedic Surgery,207X00000X,1,"MANUEL BENITEZ CORUJO, M.D.",1932490539,NPI-2,2011-04-29,2025-01-23,MANUEL BENITEZ CORUJO,president,Orthopaedic Surgery,United States,No,,,,,,,,,
CENTRO ORTOPEDICO ESPECIALIZADO,(787) 844-8000,,2360 AVE EDUARDO RUBERTE,,PONCE,PR,7170304,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"GILBERTO ALVARADO DIAZ, MD",1942611900,NPI-2,2014-05-13,2025-06-27,GILBERTO ALVARADO DIAZ,Presidente,"Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
CENTRO ORTOPEDICO INTEGRADO CSP,(787) 844-8000,,2360 AVE EDUARDO RUBERTE,,PONCE,PR,7170304,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"GILBERTO ALVARADO DIAZ, MD",1407217789,NPI-2,2016-03-14,2025-07-02,GILBERTO ALVARADO DIAZ,Presidente,"Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
"ORTHOPAEDIC SPECIALTIES INSTITUTE,PSC",(787) 841-1085,787-651-5580,2435 BLVD LUIS A FERRE,HOSPITAL METROPOLITANO,PONCE,PR,7172112,Orthopaedic Surgery,207X00000X,1,"RUBEN HERNANDEZ-SANTIAGO, M.D.",1023438710,NPI-2,2014-04-21,2015-06-23,RUBEN HERNANDEZ-SANTIAGO,PRESIDENT,Orthopaedic Surgery,United States,No,,,,,,,,,
ORTHOPEDIC AND SPINE CENTER OF PUERTO RICO LLC,(787) 492-0014,,HOSPITAL DAMAS,2225 PONCE BYPASS PARRA MEDICAL PLAZA SUITE 1003-1004,PONCE,PR,7171313,Orthopaedic Surgery,207X00000X,1,"DANNY MANGUAL, M.D.",1285497339,NPI-2,2024-02-01,2025-02-21,DANNY MANGUAL PEREZ,Director,"Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma",United States,No,,,,,,,,,
GRUPO ORTOPEDICO DEL ESTE C.S.P.,(787) 504-9848,,1687 CALLE AMARILLO APT 3102,COND. LOS CEDROS,SAN JUAN,PR,9263065,Orthopaedic Surgery,207X00000X,1,"ARIEL CHACON BALADO, MD",1699952523,NPI-2,2008-01-22,2008-01-22,ARIEL CHACON-BALADO,Resident Agent,Orthopaedic Surgery,United States,No,,,,,,,,,
JEO LLC,(787) 771-1000,787-771-1001,735 AVE PONCE DE LEON STE 201,,SAN JUAN,PR,9175023,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"JOSE ECHENIQUE ARANA, M.D.",1023575768,NPI-2,2019-03-01,2019-09-25,JOSE ECHENIQUE ARANA,SOLE MBR,"Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
ORTHOPAEDIC HAND AND UPPER EXTREMITY PSC,(787) 721-5505,781-721-5388,COND PLAZA DE DIEGO,310 AVE DE DIEGO SUITE 301,SAN JUAN,PR,9091730,"Orthopaedic Surgery, Hand Surgery",207XS0106X,1,JOSE SANTIAGO-FIGUEROA,1689940496,NPI-2,2012-03-26,2012-07-19,YESENIA RODRIGUEZ ALVAREZ,Orthopaedic Hand Surgeon,"Orthopaedic Surgery, Hand Surgery",United States,No,,,,,,,,,
PR JOINTS & ROBOTICS CENTER LLC,(787) 767-5100,787-250-7829,HOSPITAL SAN FRANCISCO,TORRE MEDICA OFICINA 209 371 DE DIEGO,SAN JUAN,PR,923,Orthopaedic Surgery,207X00000X,1,"MANUEL RODRIGUEZ PEREZ, M.D.",1912654815,NPI-2,2022-03-10,2023-07-06,MANUEL RODRIGUEZ,President,Orthopaedic Surgery,United States,No,,,,,,,,,
"RHODE ISLAND HAND CENTER, P.C.",(401) 942-0280,401-942-7230,1150 RESERVOIR AVENUE,,CRANSTON,RI,2920,"Orthopaedic Surgery, Hand Surgery",207XS0106X,1,"KENNETH MORRISSEY, MD",1841249935,NPI-2,2006-05-08,2016-03-11,LEONARD HUBBARD,President Owner,"Physical Therapist, Hand; Orthopaedic Surgery, Hand Surgery",United States,No,,,,,,,,,
"WILLIAM S. BUONANNO, MD.,INC.",(401) 946-6622,401-946-3388,35 SOCKANOSSETT CROSSROAD,SUITE 3,CRANSTON,RI,2920,Orthopaedic Surgery,207X00000X,1,"WILLIAM BUONANNO, M.D.",1629279989,NPI-2,2007-05-31,2020-08-22,WILLIAM BUONANNO,PHYSICIAN,Orthopaedic Surgery,United States,No,,,,,,,,,
"ARMISTICE ORTHOPEDICS, LLC.",(401) 725-4100,401-728-5010,209 ARMISTICE BLVD,,PAWTUCKET,RI,28603242,Orthopaedic Surgery,207X00000X,1,"RICHARD ANDERSON, M.D.",1851847230,NPI-2,2016-08-26,2016-11-03,ANNE NEVERS,Office Manager,Orthopaedic Surgery,United States,No,,,,,,,,,
"ORTHOPEDIC SERVICES & SPORTS MEDICINE, INC.",(401) 273-8400,401-273-9420,868 ADMIRAL ST,,PROVIDENCE,RI,29041917,Orthopaedic Surgery,207X00000X,1,"PETER PIZZARELLO, M.D.",1386727352,NPI-2,2006-10-23,2008-08-13,PETER PIZZARELLO,President,Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery,United States,No,,,,,,,,,
FRANKLIN E MIRRER MD ORTHOPAEDIC SURGEON INC,(401) 739-9050,401-732-2203,215 TOLL GATE RD,SUITE 206,WARWICK,RI,28864458,Orthopaedic Surgery,207X00000X,1,"FRANKLIN MIRRER, M.D.",1194052548,NPI-2,2009-11-05,2013-09-05,FRANKLIN MIRRER,President,Orthopaedic Surgery,United States,No,,,,,,,,,
J E NOONAN JR INC,(401) 739-9050,401-732-2203,215 TOLL GATE RD,SUITE 206,WARWICK,RI,28864458,Orthopaedic Surgery,207X00000X,1,"FRANKLIN MIRRER, M.D.",1134442031,NPI-2,2010-03-05,2010-03-05,JOSEPH NOONAN,President,Orthopaedic Surgery,United States,No,,,,,,,,,
MJI INC,(401) 739-9050,401-732-2203,215 TOLL GATE RD,,WARWICK,RI,28864458,Orthopaedic Surgery,207X00000X,1,"FRANKLIN MIRRER, M.D.",1386691723,NPI-2,2006-05-30,2009-01-08,MICHAEL INFANTOLINO,OWNER,Orthopaedic Surgery,United States,No,,,,,,,,,
"ORTHOPEDICS RHODE ISLAND, INC",(401) 738-3730,401-738-3777,120 CENTERVILLE ROAD,,WARWICK,RI,2886,Orthopaedic Surgery,207X00000X,1,"ANTHONY MECHREFE, MD",1871049429,NPI-2,2016-09-01,2018-08-07,MARY ELLEN ASHE,Executive Director,"Podiatrist, Primary Podiatric Medicine; Orthopaedic Surgery",United States,No,,,,,,,,,
"UNIVERSITY ORTHOPEDICS, INC.",(401) 637-7929,,11 WELLS ST STE 1,,WESTERLY,RI,28912998,Orthopaedic Surgery,207X00000X,1,"MOUHANAD EL OTHMANI, MD",1275188955,NPI-2,2019-08-08,2021-12-07,ELIZABETH SEKSCENSKI,Manager of Credentialing Services,Orthopaedic Surgery,United States,No,,,,,,,,,
"CARL C. DIROBBIO, MD",(401) 765-0700,401-762-3301,2345 MENDON RD,,WOONSOCKET,RI,28956164,Orthopaedic Surgery,207X00000X,1,"CARL DIROBBIO, MD",1083886501,NPI-2,2008-03-25,2008-03-25,CARL DIROBBIO,owner,Orthopaedic Surgery,United States,No,,,,,,,,,
BEAUFORT ORTHOPAEDIC SPORTS AND SPINE CENTER LLC,(843) 525-0045,843-525-0826,1076 RIBAUT RD,SUITE 101,BEAUFORT,SC,299025476,Orthopaedic Surgery,207X00000X,1,"MARK DEAN, MD",1982765160,NPI-2,2006-12-12,2024-12-16,RALPH SALZER,Doctor,"Orthopaedic Surgery; Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
BAPTIST EASLEY,(864) 855-5104,864-859-9362,112 JOHN ST,STE 201,EASLEY,SC,296401472,Orthopaedic Surgery,207X00000X,1,"ROBERT FINLEY, MD",1235447145,NPI-2,2010-09-14,2010-09-15,MARY BETHE ROCHELLE,Office Manager,Orthopaedic Surgery,United States,No,,,,,,,,,
FLORENCE ORTHOPAEDIC ASSOCIATES PA,(843) 662-7026,843-667-9594,251 WEST PALMETTO ST,,FLORENCE,SC,295014490,Orthopaedic Surgery,207X00000X,1,"ALFRED DAWSON, MD",1134181670,NPI-2,2006-04-03,2020-08-22,GEORGE DAWSON,Owner,Orthopaedic Surgery,United States,No,,,,,,,,,
MCLEOD PHYSICIAN ASSOCIATES II,(843) 432-1880,843-432-1022,800 E CHEVES ST STE 480-B,,FLORENCE,SC,295062650,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,1,"RAKESH CHOKSHI, M.D.",1821545633,NPI-2,2016-09-09,2022-06-10,KENNETH BEASLEY,Senior Vice President,"Physical Medicine & Rehabilitation; Physician Assistant, Surgical; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
GEORGETOWN PHYSICIAN ASSOCIATES LLC,(843) 652-8205,843-652-8215,4040 HIGHWAY 17 UNIT 301,,MURRELLS INLET,SC,295765098,"Psychiatry & Neurology, Neurology",2084N0400X,1,"THOMAS ELLISON, MD",1568065266,NPI-2,2020-11-17,2021-11-22,ELIZABETH WARD,EVP & CFO,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Psychiatry & Neurology, Neurology",United States,No,,,,,,,,,
"ORTHOSC, LLC",(843) 353-3460,,1621 HIGHWAY 17 N,,NORTH MYRTLE BEACH,SC,295822229,Orthopaedic Surgery,207X00000X,1,"ZACHARY BAILEY, MD",1568100691,NPI-2,2022-05-27,2022-05-27,JENIFER EDELEN,Director of Revenue Cycle,Orthopaedic Surgery,United States,No,,,,,,,,,
BLUE RIDGE ORTHOPAEDIC ASSOC PA,(864) 482-6000,,10630 CLEMSON BLVD,SUITE 100,SENECA,SC,296784546,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"WILLIAM BROWN, MD",1033141502,NPI-2,2006-07-07,2011-09-13,JO STOKES,Administrator,"Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
PRISMA HEALTH UNIVERSITY MEDICAL GROUP,(864) 482-6000,,10630 CLEMSON BLVD,SUITE 100,SENECA,SC,296784546,Orthopaedic Surgery,207X00000X,1,"WILLIAM BROWN, MD",1558754978,NPI-2,2015-03-10,2020-05-15,KRISTI LAWRENCE,Director Provider Enrollment,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Orthopaedic Trauma; Orthopaedic Surgery",United States,No,,,,,,,,,
SANFORD HEALTH NETWORK,(605) 226-2663,605-226-0095,701 8TH AVE NW,,ABERDEEN,SD,574011865,Orthopaedic Surgery,207X00000X,1,"JAMES MACDOUGALL, MD",1013252790,NPI-2,2012-12-06,2023-11-27,STEVE GOETSCH,CFO,Orthopaedic Surgery,United States,No,,,,,,,,,
