practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country
"HANDS-ON ORTHOPEDICS AND INJURY CENTER, LLC",(813) 945-2663,727-645-0915,1661 DAVENPORT DR,,TRINITY,FL,346554231,Orthopaedic Surgery,207X00000X,0,,1124701727,NPI-2,2023-08-09,2025-07-01,RONALD WILLIAMS,Owner/Physician,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery",United States
"NEXTGEN SPINE CENTER, LLC",(878) 867-7463,,1820 WELLNESS LN BLDG 4,,TRINITY,FL,346555357,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1073409629,NPI-2,2025-06-17,2025-06-17,MARCELO EGUINO,VP,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"ADVANCED ORTHOPEDIC CENTER OF CHARLOTTE COUNTY, PA",(941) 497-1771,941-492-9475,836 SUNSET LAKE BLVD STE 102,,VENICE,FL,342927555,Orthopaedic Surgery,207X00000X,0,,1619795317,NPI-2,2024-10-01,2024-10-01,DALE GREENBERG,Corporate President,Orthopaedic Surgery,United States
GULF COAST HMA PHYSICIAN MANAGEMENT LLC,(941) 483-7651,941-483-7699,8431 POINTE LOOP DR # 1,,VENICE,FL,342932232,Family Medicine,207Q00000X,0,,1750953816,NPI-2,2021-07-16,2022-03-15,JENNIFER JACKSON,Sr Dir Prov Enrollment & Onboarding,Orthopaedic Surgery; Podiatrist; Family Medicine,United States
GULF COAST HMA PHYSICIAN MANAGEMENT LLC,(941) 483-7651,941-483-7699,1700 E VENICE AVE,,VENICE,FL,342923190,Internal Medicine,207R00000X,0,,1508437351,NPI-2,2021-07-02,2022-03-15,JENNIFER JACKSON,Sr Dir Prov Enrollment & Onboarding,"Family Medicine; Internal Medicine, Endocrinology, Diabetes & Metabolism; Internal Medicine, Gastroenterology; Occupational Therapist; Obstetrics & Gynecology, Gynecology; Orthopaedic Surgery; Thoracic Surgery (Cardiothoracic Vascular Surgery); Physical Therapist; Nurse Practitioner, Family; Physician Assistant; Physician Assistant, Surgical; Nurse Practitioner; Internal Medicine",United States
GULF COAST HMA PHYSICIAN MANAGEMENT LLC,(941) 882-7824,941-486-2823,1211 JACARANDA BLVD,,VENICE,FL,342924520,Orthopaedic Surgery,207X00000X,0,,1558938134,NPI-2,2021-06-10,2022-03-15,JENNIFER JACKSON,Sr Dir Pro Enrollment & Onboarding,"Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery",United States
GULF COAST HMA PHYSICIAN MANAGEMENT LLC,(941) 483-7651,941-483-7699,1201 JACARANDA BLVD,,VENICE,FL,342924535,Orthopaedic Surgery,207X00000X,0,,1659040491,NPI-2,2021-09-07,2022-03-15,JENNIFER JACKSON,Sr Dir Prov Enrollment & Onboarding,Orthopaedic Surgery,United States
GULF COAST HMA PHYSICIAN MANAGEMENT LLC,(941) 497-1771,941-497-1860,836 SUNSET LAKE BLVD STE 102,,VENICE,FL,342927555,Orthopaedic Surgery,207X00000X,0,,1114695087,NPI-2,2021-09-03,2022-03-14,JENNIFER JACKSON,Sr Dr Prov Enrollment & Onboarding,Orthopaedic Surgery,United States
"ORTHO FLORIDA, LLC",(941) 951-2663,,435 COMMERCIAL CT UNIT 100,,VENICE,FL,342921658,Orthopaedic Surgery,207X00000X,0,,1538801139,NPI-2,2022-04-13,2022-04-13,DANE TRASK,OF CEO,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Podiatrist; Orthopaedic Surgery",United States
SARASOTA ORTHOPEDIC ASSOCIATES LLC,(941) 951-2663,941-552-3312,435 COMMERCIAL CT,SUITE 100,VENICE,FL,342921658,Orthopaedic Surgery,207X00000X,0,,1396114138,NPI-2,2015-09-23,2015-09-23,ROBIN JUSTICE,Director of Billing and Collections,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Podiatrist, Foot & Ankle Surgery; Orthopaedic Surgery",United States
ACTIVE HEALTH CLINIC LLC,(415) 279-0947,,1948 OCEAN RIDGE CIR,,VERO BEACH,FL,329632730,General Practice,208D00000X,0,,1417767518,NPI-2,2025-01-10,2025-01-27,KASSRA  MICHAEL KHAZALPOUR,President,"Health & Wellness Coach; Health Educator; Family Medicine, Sports Medicine; Preventive Medicine, Public Health & General Preventive Medicine; General Practice; Home Health; Home Infusion; Clinic/Center; Clinic/Center, Health Services",United States
JOHN GREGORY ATWATER MD PA,(772) 213-9800,772-213-9813,1260 37TH ST STE 102,,VERO BEACH,FL,329606567,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1982110094,NPI-2,2017-12-27,2018-01-26,JOHN ATWATER,President,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
JOHN T DAVIDSON MD FRCS PA,(772) 563-0146,772-770-5817,1300 36TH ST STE 1H,,VERO BEACH,FL,329604898,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1952603078,NPI-2,2010-11-22,2010-11-23,JOHN DAVIDSON,Owner,"Orthopaedic Surgery, Sports Medicine",United States
"JOHNNY C. BENJAMIN JR. M.D., PA",(772) 978-7808,772-978-9320,1355 37TH ST,SUITE 301,VERO BEACH,FL,329607320,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,1,"JOHNNY BENJAMIN, M.D.",1760412977,NPI-2,2006-07-04,2016-01-06,AMANDA MULLIKIN,ADMIN ASSIST,"Anesthesiology, Pain Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
VERO ORTHOPAEDICS II PA,(772) 569-2330,772-569-2630,3955 INDIAN RIVER BLVD STE 100,,VERO BEACH,FL,329604845,Neuromusculoskeletal Medicine & OMM,204D00000X,1,"ALFREDO ARROJAS, M.D.",1184626079,NPI-2,2005-08-11,2024-03-18,JOHN PEDEN,PRESIDENT,"Neuromusculoskeletal Medicine & OMM; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Physical Medicine & Rehabilitation",United States
WILLIAM P COONEY III MD PA,(772) 978-7808,772-978-9320,1355 37TH ST,SUITE 301,VERO BEACH,FL,329607321,"Orthopaedic Surgery, Hand Surgery",207XS0106X,1,"JOHNNY BENJAMIN, M.D.",1700085735,NPI-2,2007-07-11,2009-07-14,WILLIAM COONEY,OFFICER,"Orthopaedic Surgery, Hand Surgery",United States
VARIETY CHILDREN'S HOSPITAL,(305) 666-6511,,17615 SW 97TH AVE,,VILLAGE OF PALMETTO BAY,FL,331575636,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery",207XP3100X,0,,1396904140,NPI-2,2008-06-06,2008-06-06,PEDRO ALFARO,Senior VP & CFO,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery",United States
"THOMAS P. HABAN, D.C., P.A.",(305) 871-3700,,6595 NW 36TH ST,SUITE 202,VIRGINIA GARDENS,FL,331666979,"Chiropractor, Rehabilitation",111NR0400X,0,,1255659769,NPI-2,2010-05-07,2010-05-07,THOMAS HABAN,Chiropractic Physician/Owner Pres.,"Orthopaedic Surgery, Orthopaedic Trauma; Chiropractor, Rehabilitation",United States
"FARHAN SIDDIQI, MD PA",(352) 556-2524,,7005 NIGHTWALKER RD,,WEEKI WACHEE,FL,346136349,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1386170850,NPI-2,2017-05-03,2017-05-03,FARHAN SIDDIQI,President,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
AFFORDABLE MEDICAL CLINIC OF WELLII,(561) 758-2271,,12773 FOREST HILL BLVD STE 1203,,WELLINGTON,FL,334144760,"Family Medicine, Sports Medicine",207QS0010X,0,,1003371519,NPI-2,2019-02-08,2019-02-08,DAVID DREXLER,president,"Family Medicine, Sports Medicine",United States
"FLORIDA ORTHOCARE NETWORK, LLC",(561) 588-9912,,1049 S STATE ROAD 7,,WELLINGTON,FL,334146135,Orthopaedic Surgery,207X00000X,0,,1710343017,NPI-2,2016-01-04,2018-11-30,JOHN PAPA,OWNER,"Neurological Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery",United States
FLORIDA SPINE ASSOCIATES LLC,(561) 495-9511,561-990-7426,3319 S STATE ROAD 7 STE 207,,WELLINGTON,FL,334498146,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1992483630,NPI-2,2023-07-11,2024-03-12,BRITTANY ROSARIO,Manager,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Pain Medicine, Interventional Pain Medicine",United States
JACK I NEWCOMER MD PA,(561) 798-2800,561-793-6631,3319 STATE ROAD 7,SUITE 108,WELLINGTON,FL,334498094,"Family Medicine, Sports Medicine",207QS0010X,0,,1871743062,NPI-2,2008-09-24,2014-04-07,JACK NEWCOMER,PHYSICIAN,"Family Medicine, Sports Medicine",United States
PALM ORTHOPEDIC JOINT &SPINE INSTITUTE,(561) 914-4233,,3347 S STATE ROAD 7 STE 200,,WELLINGTON,FL,334498148,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,1,"MAMUN AL-RASHID, MD",1245047299,NPI-2,2024-12-13,2025-07-31,MAMUN AL RASHID,PRACTICE OWNER,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States
DAVIS SPINE AND ORTHOPAEDICS LLC,(813) 994-2225,,2629 WINDGUARD CIR,,WESLEY CHAPEL,FL,335447355,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1912462441,NPI-2,2019-02-08,2024-02-23,CHARLES DAVIS,M.D.,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
PALM BEACH ORTHO-SPINE ASSOCIATES LLC,(561) 725-0540,561-249-2731,4631 N CONGRESS AVE STE 205,,WEST PALM BCH,FL,334073209,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1609478312,NPI-2,2020-11-09,2021-09-25,JASON BILLINGHURST,Physician/Owner,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
ESPALDA LLC,(516) 507-0800,561-600-8705,2047 PALM BEACH LAKES BLVD STE 100,,WEST PALM BEACH,FL,334096500,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1336836808,NPI-2,2023-04-24,2023-04-24,CARIANNE YANTZ,Credentials Coord,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
FLORIDA SPINE ASSOCIATES LLC,(561) 485-9511,561-990-7426,5800 CORPORATE WAY,,WEST PALM BEACH,FL,334072004,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1437837259,NPI-2,2023-07-11,2024-03-12,BRITTANY ROSARIO,Manager,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Pain Medicine, Interventional Pain Medicine",United States
HB MEDICAL LLC,(561) 659-1715,561-659-1561,1411 N FLAGLER DRIVE,SUITE 4900,WEST PALM BEACH,FL,334013410,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,0,,1699929695,NPI-2,2008-11-05,2008-11-05,WILLIAM HODGE,MEMBER,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States
"LA MEDICAL ASSOCIATES, LLC",(561) 433-5577,561-275-2696,2326 S CONGRESS AVE,1-A,WEST PALM BEACH,FL,334067617,Internal Medicine,207R00000X,0,,1881804094,NPI-2,2007-05-23,2025-12-12,ARTHUR HANSEN,Partner,"Podiatrist, Sports Medicine; Physician Assistant; Chiropractor; Podiatrist, Radiology; Family Medicine; Podiatrist; Podiatrist, Foot & Ankle Surgery; Physical Therapist; Internal Medicine",United States
"LIMA ORTHOPAEDICS, PA",(954) 554-7205,,2201 45TH ST,,WEST PALM BEACH,FL,334072047,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1356023642,NPI-2,2023-08-04,2023-08-04,DIEGO JOSE LOPES DE LIMA,Physician,"Orthopaedic Surgery, Sports Medicine",United States
M G MASSOUMI MD PA,(561) 655-9455,561-655-9457,1500 N DIXIE HWY,SUITE #104,WEST PALM BEACH,FL,334012712,"Orthopaedic Surgery, Hand Surgery",207XS0106X,0,,1982852232,NPI-2,2008-08-28,2008-09-05,MAS MASSOUMI,President,"Orthopaedic Surgery, Hand Surgery",United States
"MICHAEL A. GLEIBER, M.D., P.A.",(561) 972-6464,,1555 PALM BEACH LAKES BOULEVARD,SUITE 950,WEST PALM BEACH,FL,33401,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1093029480,NPI-2,2010-07-28,2015-08-05,MICHAEL GLEIBER,PRESIDENT,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"ORTHO FLORIDA, LLC",(561) 495-9511,,5800 CORPORATE WAY,,WEST PALM BEACH,FL,334072004,Orthopaedic Surgery,207X00000X,0,,1932847720,NPI-2,2022-05-23,2022-05-23,DANE TRASK,CEO,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Orthopaedic Surgery",United States
"PALM BEACH ORTHOPAEDIC ASSOCIATES, L.L.C.",(561) 684-2022,561-478-7921,2580 METROCENTRE BLVD,SUITE 1,WEST PALM BEACH,FL,334073100,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1982768941,NPI-2,2006-12-21,2012-10-15,RAFAEL FOSS,MANAGING PARTNER,"Anesthesiology, Pain Medicine; Neurological Surgery; Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
PALM BEACH SPINE INC,(561) 507-0800,,2047 PALM BEACH LAKES BLVD,,WEST PALM BEACH,FL,334096522,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1780340323,NPI-2,2021-11-09,2021-11-09,CARIANNE YANTZ,HR,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
SPINE AND NEUROSURGICAL SPECIALISTS OF SOUTH FLORIDA LLC,(561) 507-0800,,2047 PALM BEACH LAKES BLVD,STE 100,WEST PALM BEACH,FL,334096522,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1194199745,NPI-2,2015-11-19,2015-11-19,JONATHAN CUTLER,PRESIDENT,"Neurological Surgery; Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"SPINE SPECIALISTS OF SOUTH FLORIDA, LLC",(561) 507-0800,,2047 PALM BEACH LAKES BLVD,,WEST PALM BEACH,FL,334096522,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1073997151,NPI-2,2015-07-17,2025-07-30,JONATHAN CUTLER,President,"Orthopaedic Surgery; Orthopaedic Surgery; Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Neurological Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Pain Medicine, Interventional Pain Medicine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"TENET FLORIDA PHYSICIAN SERVICES II, LLC",(561) 844-5255,561-844-5425,901 45TH ST,KIMMEL BLDG,WEST PALM BEACH,FL,334072413,Orthopaedic Surgery,207X00000X,0,,1912266420,NPI-2,2012-05-04,2023-05-30,BRIAN RASMUS,"VP, CFO TPR Tenet",Physical Therapist; Orthopaedic Surgery,United States
"ORTHOPEDIC TRAUMA CONSULTANTS, LLC",(954) 812-1388,,1649 VICTORIA POINTE CIR,,WESTON,FL,333271311,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,0,,1295420479,NPI-2,2023-04-05,2023-04-05,BRIAN CROSS,MGR,"Orthopaedic Surgery, Orthopaedic Trauma",United States
DR. HUSS PA,(347) 634-6469,,1650 NE 26TH ST STE 103,,WILTON MANORS,FL,333051431,Family Medicine,207Q00000X,0,,1467252924,NPI-2,2025-03-14,2025-03-14,HUSSEIN ANAN,Owner/Physician,"Integrative Medicine; Family Medicine; Family Medicine, Sports Medicine",United States
AMERICAN SPINE & ORTHOPAEDIC INSTITUTE LLC,(877) 977-7463,,3724 WINTER GARDEN VINELAND RD BLDG 2,,WINTER GARDEN,FL,347875483,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1679042972,NPI-2,2018-11-15,2019-08-27,JAMES MANZANARES,OWNER/PHYSICIAN,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"ADVANCED ORTHOPEDIC SURGERY OF CELEBRATION, LLC",(863) 318-9696,863-318-8075,250 3RD ST NW,SUITE 201,WINTER HAVEN,FL,338814605,Orthopaedic Surgery,207X00000X,0,,1639351398,NPI-2,2007-12-04,2012-02-29,LARRY PADGETT,Sole Proprietor,Orthopaedic Surgery,United States
BOND CLINIC PA,(863) 293-1191,863-293-3635,500 E CENTRAL AVE,,WINTER HAVEN,FL,338803053,Internal Medicine,207R00000X,0,,1881639193,NPI-2,2006-06-19,2010-04-26,PAMELA CUNNINGHAM,Credentials,"Family Medicine; Internal Medicine, Cardiovascular Disease; Internal Medicine, Endocrinology, Diabetes & Metabolism; Internal Medicine, Gastroenterology; Internal Medicine, Hematology & Oncology; Internal Medicine, Nephrology; Internal Medicine, Pulmonary Disease; Internal Medicine, Rheumatology; Obstetrics & Gynecology; Ophthalmology; Orthopaedic Surgery; Pediatrics; Surgery; Urology; Internal Medicine",United States
MESSIEH ORTHOPEDIC CLINIC PA,(863) 419-9301,863-419-9304,1601 6TH ST SE,,WINTER HAVEN,FL,338804605,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,0,,1972718450,NPI-2,2007-05-10,2013-08-26,SONIA ROMAN,Billing Clerk,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States
"ADVENTIST HEALTH SYSTEM /SUNBELT, INC.",(407) 200-2300,,2325 W FAIRBANKS AVE STE 2,,WINTER PARK,FL,327894511,"Clinic/Center, Urgent Care",261QU0200X,0,,1003547688,NPI-2,2022-06-23,2023-04-20,SCOTT BRADY,President,"Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Trauma; Physician Assistant; Nurse Practitioner, Family; Clinic/Center, Urgent Care",United States
AXIS MEDICAL SERVICES LLC,(321) 765-4373,407-542-0666,1801 LEE RD STE 304,,WINTER PARK,FL,327892101,Neurological Surgery,207T00000X,0,,1538024047,NPI-2,2025-12-17,2025-12-17,DAVID ROSEN,MEDICAL DIRECTOR,"Orthopaedic Surgery; Pain Medicine, Interventional Pain Medicine; Neurological Surgery",United States
DOCTORS OF CLINICAL SPECIALTIES LLC,(407) 500-3627,407-930-4353,483 N SEMORAN BLVD STE 210,,WINTER PARK,FL,32792,"Clinic/Center, Multi-Specialty",261QM1300X,0,,1144674607,NPI-2,2016-04-20,2025-12-05,SANDEEP BAJAJ,Owner,"Anesthesiology, Pain Medicine; Dermatology, Dermatopathology; Internal Medicine, Cardiovascular Disease; Internal Medicine, Gastroenterology; Internal Medicine, Hematology & Oncology; Internal Medicine, Interventional Cardiology; Internal Medicine, Nephrology; Neurological Surgery; Orthopaedic Surgery, Sports Medicine; Radiology, Diagnostic Radiology; Urology; Hospitalist; Clinic/Center, Multi-Specialty",United States
JEWETT ORTHOPAEDIC CLINIC LLC,(407) 647-2287,407-643-1300,1285 ORANGE AVE,,WINTER PARK,FL,327894949,Orthopaedic Surgery,207X00000X,2,"BRIAN BARNARD, M.D.; JOSEPH BILLINGS, D.O.",1821097437,NPI-2,2005-07-15,2015-01-14,MICHAEL JABLONSKI,C.E.O.,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physical Medicine & Rehabilitation; Radiology, Body Imaging; Radiologic Technologist, Bone Densitometry; Durable Medical Equipment & Medical Supplies; Prosthetic/Orthotic Supplier; Radiology, Diagnostic Radiology; Orthopaedic Surgery",United States
LEGACY SPORTS PHYSICAL THERAPY LLC,(407) 536-8311,,7307 SANDSCOVE CT STE 11,,WINTER PARK,FL,327925902,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1841152501,NPI-2,2025-12-01,2025-12-01,CHRISTOPHER ROYSTER,CEO,"Physical Medicine & Rehabilitation, Sports Medicine",United States
LYERLY BAPTIST INC,(904) 202-6683,904-376-3062,851042 US HIGHWAY 17 STE A,,YULEE,FL,320972845,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1700775483,NPI-2,2025-06-30,2025-12-26,TYRONE MCCLOUD,Executive Director,"Orthopaedic Surgery; Family Medicine, Sports Medicine; Orthopaedic Surgery, Sports Medicine",United States
"RESURGENS, LLC",(704) 915-4817,770-491-5482,4450 CALIBRE XING NW STE 1225,,ACWORTH,GA,301014103,Orthopaedic Surgery,207X00000X,0,,1669981049,NPI-2,2017-09-28,2023-03-29,VALERIE SPRINGER,Credentialing Manager,Orthopaedic Surgery,United States
ALBANY ARTHRITIS & ORTHOPAEDIC CENTER,(229) 446-1990,229-446-1993,2100 PALMYRA RD,,ALBANY,GA,317011320,Orthopaedic Surgery,207X00000X,0,,1154472447,NPI-2,2007-01-15,2020-08-22,MANDY WILKES,Office manager,Orthopaedic Surgery,United States
ALBANY BONE & JOINT CLINIC PC,(229) 883-4707,229-435-1038,619 POINTE NORTH BLVD,,ALBANY,GA,317211514,Orthopaedic Surgery,207X00000X,0,,1295709178,NPI-2,2006-02-15,2023-10-17,CHERYL BOYLES,Administrator,Orthopaedic Surgery,United States
"ALBANY BONE & JOINT CLINIC, P.C.",(229) 878-4321,229-878-5156,2726 LEDO RD,SUITE 2,ALBANY,GA,317077622,Orthopaedic Surgery,207X00000X,0,,1598942773,NPI-2,2008-01-30,2008-01-30,PAUL MICHAS,Vice President,Orthopaedic Surgery,United States
ALBANY STATE UNIVERSITY,(972) 367-4845,,504 COLLEGE DR,,ALBANY,GA,317052717,Orthopaedic Surgery,207X00000X,0,,1598284408,NPI-2,2017-09-12,2017-09-12,MOUZON BASS,Agent,Orthopaedic Surgery,United States
"BACON COUNTY HEALTH SERVICES, INC.",(912) 632-0260,912-632-9272,205 S WAYNE ST,,ALMA,GA,315102919,Orthopaedic Surgery,207X00000X,0,,1639485394,NPI-2,2010-08-19,2010-08-19,CINDY TURNER,CEO,Orthopaedic Surgery,United States
"LIFEHOPE TRIF3CTA SPORTS MEDICINE, LLC",(404) 500-7224,,11680 GREAT OAKS WAY,,ALPHARETTA,GA,300222457,"Internal Medicine, Sports Medicine",207RS0010X,0,,1841960937,NPI-2,2021-09-20,2021-09-27,JAESON COURSEAULT,Owner,"Internal Medicine, Sports Medicine",United States
"NORTH FULTON PHYSICAL THERAPY AND SPORTS MEDICINE, INC.",(770) 442-0727,770-343-9607,1750 FOUNDERS PKWY STE 126,,ALPHARETTA,GA,300097600,Physical Therapist,225100000X,0,,1669529905,NPI-2,2007-01-05,2022-04-08,MALYNDA COPELAND,Operations Manager,"Physical Medicine & Rehabilitation, Sports Medicine; Physical Therapist",United States
"DAVID K. TAING, M.D., D.C, P.C.",(229) 924-2383,,922 E JEFFERSON ST,SUITE B,AMERICUS,GA,317094780,"Family Medicine, Sports Medicine",207QS0010X,0,,1629236641,NPI-2,2008-05-27,2008-05-27,CARROLL WIGGINS,Practice Administrator,"Family Medicine, Sports Medicine",United States
"SUMTER FAMILY MEDICINE & SPORTS MEDICINE CENTER, P.C.",(229) 924-2383,229-924-0684,922 E JEFFERSON ST,SUITE B,AMERICUS,GA,317094780,"Family Medicine, Sports Medicine",207QS0010X,0,,1073775904,NPI-2,2008-07-01,2008-07-01,MICHAEL BUSMAN,M.D.,"Family Medicine, Sports Medicine",United States
"ARCH ORTHOPEDIC AND SPINE, LLC",(706) 389-8941,,1061 DOWDY RD STE 202,,ATHENS,GA,306065700,Orthopaedic Surgery,207X00000X,1,"WILLIAM ASHFORD, MD",1477175941,NPI-2,2020-05-07,2026-02-24,JESSICA GAY,Business Development,Orthopaedic Surgery,United States
"ATHENS ORTHOPEDIC CLINIC, PA",(706) 549-1663,706-546-8792,855 KING AVE,,ATHENS,GA,306062837,Orthopaedic Surgery,207X00000X,0,,1306239181,NPI-2,2015-03-18,2025-05-08,MICHAEL BOBLITZ,CEO,Orthopaedic Surgery,United States
"ATHENS ORTHOPEDIC CLINIC, PA",(706) 549-1663,706-546-8792,125 KING AVE,,ATHENS,GA,306066734,Orthopaedic Surgery,207X00000X,0,,1215320098,NPI-2,2015-03-18,2025-05-08,MICHAEL BOBLITZ,CEO,Orthopaedic Surgery,United States
"ATHENS ORTHOPEDIC CLINIC, PA",(706) 549-1663,706-546-8792,850 KING AVE,,ATHENS,GA,306062838,Orthopaedic Surgery,207X00000X,0,,1578416616,NPI-2,2026-02-18,2026-02-18,MICHAEL BOBLITZ,CEO,Orthopaedic Surgery,United States
"ATHENS ORTHOPEDIC CLINIC, PA",(706) 549-1663,706-546-8792,1765 OLD WEST BROAD ST,,ATHENS,GA,306062853,Orthopaedic Surgery,207X00000X,0,,1063495299,NPI-2,2005-11-22,2025-05-08,MICHAEL BOBLITZ,CEO,Orthopaedic Surgery,United States
"ATHENS ORTHOPEDIC CLINIC, PA",(706) 549-1663,706-546-8792,1774 OLD WEST BROAD ST,,ATHENS,GA,306062865,Orthopaedic Surgery,207X00000X,0,,1457872830,NPI-2,2017-07-06,2025-05-08,MICHAEL BOBLITZ,CEO,Orthopaedic Surgery,United States
"ADVANCED JOINT SURGERY SPECIALISTS, LLC",(855) 709-4535,,1000 JOHNSON FERRY RD,,ATLANTA,GA,303421606,Orthopaedic Surgery,207X00000X,0,,1477929206,NPI-2,2015-08-17,2025-06-02,JORGE HERNANDEZ,"VP Admin. Services, CCO",Orthopaedic Surgery,United States
"AICA ORTHOPEDICS, P. C.",(678) 701-2225,678-701-2226,755 MOUNT VERNON HWY NE STE 305,,ATLANTA,GA,303284290,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1073153409,NPI-2,2020-01-14,2020-01-14,KERI LANIADO,Accountant,"Orthopaedic Surgery, Sports Medicine",United States
"AICA ORTHOPEDICS, P.C.",(678) 205-2337,678-205-2350,3166 CHESTNUT DRIVE CONN,,ATLANTA,GA,303403242,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,0,,1710399324,NPI-2,2014-05-30,2018-01-18,FRANCIS ACQUAH,Owner,"Orthopaedic Surgery, Orthopaedic Trauma",United States
"AICA ORTHOPEDICS, P.C.",(678) 217-7700,,1965 N PARK PL SE,,ATLANTA,GA,30339,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,0,,1174935779,NPI-2,2014-05-30,2023-10-06,FRANCIS ACQUAH,Owner,"Orthopaedic Surgery, Orthopaedic Trauma",United States
